"dateCollected","patchDistance","transectNum","roadDistance","massBag","massFinal","seedAbundance","abundanceMass","abundanceVolume","Date of Seeds counted","comments","uid"
"30-Aug",10,1,2,729.82,722.82,0,0,0,"16-Sep","2,3,6 definitely 1?","10_2"
"30-Aug",10,1,1,701.17,694.17,0,0,0,"16-Sep",NA,"10_1"
"30-Aug",10,1,4,855.84,848.84,0,0,0,"16-Sep",NA,"10_4"
"30-Aug",10,1,3,739.23,732.23,1,0.001365691,0.006366199,"17-Sep",NA,"10_3"
"30-Aug",15,2,2,684.91,677.91,4,0.005900488,0.025464796,"15-Sep",NA,"15_2"
"30-Aug",15,2,1,770.74,763.74,15,0.019640192,0.095492986,"16-Sep",NA,"15_1"
"30-Aug",15,2,4,809.6,802.6,2,0.002491901,0.012732398,"16-Sep",NA,"15_4"
"30-Aug",15,2,3,775.65,768.65,15,0.019514734,0.095492986,"17-Sep",NA,"15_3"
"30-Aug",20,3,3,760.49,753.49,45,0.059722093,0.286478957,"16-Sep","2 were cracked but had both halves","20_3"
"30-Aug",20,3,4,838.27,831.27,2,0.002405957,0.012732398,"16-Sep",NA,"20_4"
"30-Aug",20,3,1,706.27,699.27,5,0.007150314,0.031830995,"16-Sep",NA,"20_1"
"30-Aug",20,3,2,725.99,718.99,8,0.011126719,0.050929592,"17-Sep",NA,"20_2"
"30-Aug",25,4,2,847.97,840.97,5,0.005945515,0.031830995,"13-Sep",NA,"25_2"
"30-Aug",25,4,3,310.05,303.05,2,0.006599571,0.012732398,"14-Sep","spilled half of soil left with only 309g","25_3"
"30-Aug",25,4,4,857.57,850.57,1,0.001175682,0.006366199,"15-Sep",NA,"25_4"
"30-Aug",25,4,1,725.59,718.59,2,0.002783228,0.012732398,"15-Sep",NA,"25_1"
"30-Aug",30,5,1,854.55,847.55,3,0.003539614,0.019098597,"13-Sep",NA,"30_1"
"30-Aug",30,5,4,792.56,785.56,1,0.001272977,0.006366199,"13-Sep",NA,"30_4"
"30-Aug",30,5,2,853.19,846.19,22,0.025998889,0.140056379,"13-Sep",NA,"30_2"
"30-Aug",30,5,3,788.41,781.41,1,0.001279738,0.006366199,"13-Sep",NA,"30_3"
"30-Aug",35,6,2,783.3,776.3,8,0.010305294,0.050929592,"15-Sep",NA,"35_2"
"30-Aug",35,6,3,848.89,841.89,13,0.015441447,0.082760588,"15-Sep","some big seeds","35_3"
"30-Aug",35,6,4,888.38,881.38,1,0.001134584,0.006366199,"16-Sep",NA,"35_4"
"30-Aug",35,6,1,724.78,717.78,1,0.001393185,0.006366199,"16-Sep",NA,"35_1"
"30-Aug",40,7,2,820.6,813.6,39,0.047935103,0.248281763,"14-Sep","~3 very small and maybe questionable?","40_2"
"30-Aug",40,7,4,917.82,910.82,1,0.001097912,0.006366199,"14-Sep","very small and a little cracked","40_4"
"30-Aug",40,7,1,693.83,686.83,47,0.068430325,0.299211355,"14-Sep",NA,"40_1"
