bald,dateCollected,transectNum,rosemaryNum,nearFar,depth,massBag,massActual,seedAbundance,abundanceMass,abundanceVolume,dateCounted,vegCover,presentAbsent,comments
59,23-Sep,410,50,N,NA,818.63,811.63,5,0.006160443,0.031830995,4-Nov,11,1,
59,23-Sep,410,50,F,NA,742.07,728.07,7,0.018023585,0.044563393,4-Nov,11,1,
54,5-Nov,420,58,F,NA,699.19,692.19,0,0,0,13-Dec,9,1,
54,5-Nov,420,58,N,NA,703.41,696.41,0,0,0,13-Dec,9,1,
59,23-Sep,407,46,N,NA,598.18,591.18,0,0,0,3-Nov,7,1,
59,23-Sep,407,46,F,NA,817.03,803.03,3,0.00373585,0.019098597,3-Nov,7,1,
59,23-Sep,402,41,F,NA,726.86,712.86,0,0,0,31-Oct,4,1,
59,23-Sep,402,41,N,NA,844.12,837.12,0,0,0,31-Oct,4,1,
54,5-Nov,417,55,N,NA,743.08,736.08,0,0,0,13-Dec,4,1,
54,5-Nov,417,55,F,NA,731.51,724.51,0,0,0,21-Dec,4,1,
62,26-Oct,413,51,F,NA,757.88,750.88,0,0,0,4-Nov,3,1,veg cover 2 or 3?
62,26-Oct,429,66,F,NA,766.34,759.34,1,0.001316933,0.006366199,12-Nov,3,1,1 flowering 2 not
62,26-Oct,429,66,N,NA,802.78,795.78,0,0,0,12-Nov,3,1,
59,23-Sep,411,49,N,NA,707.15,700.15,1,0.001428265,0.006366199,3-Nov,2,1,Seed is in questionable condition but I think it still counts??
59,23-Sep,411,49,F,NA,689.75,675.75,0,0,0,25-Oct,2,1,
54,5-Nov,418,56,N,NA,622.74,615.74,0,0,0,13-Dec,2,1,
54,5-Nov,418,56,F,NA,785.84,778.84,0,0,0,22-Dec,2,1,
54,5-Nov,419,57,N,NA,847.46,840.46,0,0,0,13-Dec,2,1,
54,5-Nov,419,57,F,NA,780.86,773.86,0,0,0,13-Dec,2,1,
62,26-Oct,413,51,N,NA,745.27,738.27,3,0.004063554,0.019098597,11-Nov,2,1,1 flowering 1 not
62,26-Oct,414,52,F,NA,637.67,630.67,0,0,0,11-Nov,2,1,Pink
62,26-Oct,414,52,N,NA,716.51,709.51,0,0,0,12-Nov,2,1,
59,23-Sep,403,42,N,NA,665.28,658.28,0,0,0,1-Nov,1,1,
59,23-Sep,403,42,F,,873.79,859.79,12,0.013956896,0.076394389,3-Nov,1,1,
59,23-Sep,409,48,N,NA,694.72,687.72,0,0,0,31-Oct,1,1,likely 409 not 404
59,23-Sep,409,48,F,NA,805.57,791.57,0,0,0,25-Oct,1,1,
54,5-Nov,415,53,N,NA,611.74,604.74,0,0,0,21-Dec,1,1,
54,5-Nov,415,53,F,NA,686.87,679.87,0,0,0,21-Dec,1,1,
62,26-Oct,430,67,N,NA,837.85,830.85,6,0.00722152,0.038197194,11-Nov,1,1,
